Week,Search Volume
12/30/2018,11
1/6/2019,11
1/13/2019,12
1/20/2019,9
1/27/2019,9
2/3/2019,10
2/10/2019,7
2/17/2019,8
2/24/2019,6
3/3/2019,7
3/10/2019,7
3/17/2019,8
3/24/2019,16
3/31/2019,14
4/7/2019,12
4/14/2019,13
4/21/2019,14
4/28/2019,13
5/5/2019,16
5/12/2019,15
5/19/2019,12
5/26/2019,15
6/2/2019,18
6/9/2019,16
6/16/2019,15
6/23/2019,16
6/30/2019,19
7/7/2019,16
7/14/2019,14
7/21/2019,13
7/28/2019,15
8/4/2019,16
8/11/2019,14
8/18/2019,12
8/25/2019,14
9/1/2019,13
9/8/2019,12
9/15/2019,11
9/22/2019,9
9/29/2019,8
10/6/2019,14
10/13/2019,16
10/20/2019,11
10/27/2019,11
11/3/2019,8
11/10/2019,8
11/17/2019,7
11/24/2019,7
12/1/2019,7
12/8/2019,6
12/15/2019,9
12/22/2019,9
12/29/2019,8
1/5/2020,9
1/12/2020,8
1/19/2020,7
1/26/2020,6
2/2/2020,7
2/9/2020,7
2/16/2020,6
2/23/2020,10
3/1/2020,11
3/8/2020,11
3/15/2020,11
3/22/2020,10
3/29/2020,9
4/5/2020,8
4/12/2020,8
4/19/2020,9
4/26/2020,7
5/3/2020,10
5/10/2020,11
5/17/2020,11
5/24/2020,8
5/31/2020,10
6/7/2020,8
6/14/2020,7
6/21/2020,7
6/28/2020,7
7/5/2020,6
7/12/2020,5
7/19/2020,6
7/26/2020,9
8/2/2020,13
8/9/2020,13
8/16/2020,13
8/23/2020,10
8/30/2020,8
9/6/2020,9
9/13/2020,11
9/20/2020,12
9/27/2020,12
10/4/2020,13
10/11/2020,12
10/18/2020,12
10/25/2020,17
11/1/2020,16
11/8/2020,30
11/15/2020,21
11/22/2020,18
11/29/2020,14
12/6/2020,12
12/13/2020,12
12/20/2020,13
12/27/2020,14
1/3/2021,14
1/10/2021,12
1/17/2021,9
1/24/2021,10
1/31/2021,17
2/7/2021,15
2/14/2021,15
2/21/2021,16
2/28/2021,17
3/7/2021,16
3/14/2021,16
3/21/2021,28
3/28/2021,27
4/4/2021,18
4/11/2021,16
4/18/2021,15
4/25/2021,17
5/2/2021,13
5/9/2021,12
5/16/2021,12
5/23/2021,13
5/30/2021,17
6/6/2021,17
6/13/2021,16
6/20/2021,17
6/27/2021,16
7/4/2021,14
7/11/2021,17
7/18/2021,16
7/25/2021,15
8/1/2021,18
8/8/2021,14
8/15/2021,15
8/22/2021,14
8/29/2021,15
9/5/2021,15
9/12/2021,16
9/19/2021,17
9/26/2021,17
10/3/2021,15
10/10/2021,19
10/17/2021,22
10/24/2021,25
10/31/2021,18
11/7/2021,19
11/14/2021,36
11/21/2021,53
11/28/2021,42
12/5/2021,33
12/12/2021,49
12/19/2021,100
12/26/2021,73
1/2/2022,52
1/9/2022,37
1/16/2022,29
1/23/2022,22
1/30/2022,22
2/6/2022,22
2/13/2022,21
2/20/2022,27
2/27/2022,27
3/6/2022,31
3/13/2022,24
3/20/2022,22
3/27/2022,21
4/3/2022,20
4/10/2022,17
4/17/2022,15
4/24/2022,17
5/1/2022,15
5/8/2022,24
5/15/2022,27
5/22/2022,31
5/29/2022,26
6/5/2022,34
6/12/2022,29
6/19/2022,28
6/26/2022,35
7/3/2022,33
7/10/2022,31
7/17/2022,30
7/24/2022,32
7/31/2022,27
8/7/2022,23
8/14/2022,25
8/21/2022,23
8/28/2022,20
9/4/2022,21
9/11/2022,19
9/18/2022,20
9/25/2022,21
10/2/2022,20
10/9/2022,18
10/16/2022,17
10/23/2022,17
10/30/2022,15
11/6/2022,17
11/13/2022,15
11/20/2022,12
11/27/2022,12
12/4/2022,12
12/11/2022,11
12/18/2022,11
12/25/2022,13
1/1/2023,14
1/8/2023,12
1/15/2023,11
1/22/2023,14
1/29/2023,12
2/5/2023,12
2/12/2023,12
2/19/2023,11
2/26/2023,11
3/5/2023,12
3/12/2023,11
3/19/2023,10
3/26/2023,11
4/2/2023,10
4/9/2023,11
4/16/2023,13
4/23/2023,10
4/30/2023,11
5/7/2023,12
5/14/2023,13
5/21/2023,12
5/28/2023,19
6/4/2023,27
6/11/2023,23
6/18/2023,25
6/25/2023,29
7/2/2023,25
7/9/2023,19
7/16/2023,23
7/23/2023,16
7/30/2023,17
8/6/2023,17
8/13/2023,15
8/20/2023,21
8/27/2023,19
9/3/2023,16
9/10/2023,16
9/17/2023,17
9/24/2023,15
10/1/2023,14
10/8/2023,15
10/15/2023,13
10/22/2023,13
10/29/2023,17
11/5/2023,14
11/12/2023,10
11/19/2023,12
11/26/2023,10
12/3/2023,10
12/10/2023,9
12/17/2023,10
12/24/2023,10
12/31/2023,9
